seed,family,noise,w_u,w_g,w_d,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy,method
8,local_defect,0.003,0.4,0.2,0.4,0.0030981916791729095,0.0025555356674517088,0.9936,0.03125,31,1,3,590,0.0512,0.96875,0.9117647058823529,0.00505902192242833,0.9818454890387858,evidence_tuned_frozen
8,local_defect,0.008,0.4,0.2,0.4,0.006327666410026014,0.004890587473196144,0.9744,0.1875,26,6,10,583,0.0512,0.8125,0.7222222222222222,0.016863406408094434,0.8978182967959527,evidence_tuned_frozen
8,mixed,0.003,0.4,0.2,0.4,0.005397404888112215,0.004055459406369382,0.9728,0.38235294117647056,21,13,4,587,0.0544,0.6176470588235294,0.84,0.00676818950930626,0.8054394346571117,evidence_tuned_frozen
8,mixed,0.008,0.4,0.2,0.4,0.007004352156189959,0.005449947836349592,0.9728,0.35294117647058826,22,12,5,586,0.0544,0.6470588235294118,0.8148148148148148,0.008460236886632826,0.8192992933213895,evidence_tuned_frozen
9,smooth,0.003,0.4,0.2,0.4,0.003036541013100342,0.002431339826341504,0.9856,0.10344827586206896,26,3,6,590,0.0464,0.896551724137931,0.8125,0.010067114093959731,0.9432423050219856,evidence_tuned_frozen
9,smooth,0.008,0.4,0.2,0.4,0.006305546933487623,0.0049968272708124945,0.9632,0.27586206896551724,21,8,15,581,0.0464,0.7241379310344828,0.5833333333333334,0.025167785234899327,0.8494850728997917,evidence_tuned_frozen
9,waviness,0.003,0.4,0.2,0.4,0.014853188859051961,0.010482712864265161,0.9456,0.543859649122807,26,31,3,565,0.0912,0.45614035087719296,0.896551724137931,0.00528169014084507,0.7254293303681739,evidence_tuned_frozen
9,waviness,0.008,0.4,0.2,0.4,0.013694532828719698,0.010238383382447251,0.9344,0.5789473684210527,24,33,8,560,0.0912,0.42105263157894735,0.75,0.014084507042253521,0.7034840622683469,evidence_tuned_frozen
9,local_defect,0.003,0.4,0.2,0.4,0.0035336045620435372,0.0025401776363778448,0.9904,0.09523809523809523,19,2,4,600,0.0336,0.9047619047619048,0.8260869565217391,0.006622516556291391,0.9490696941028067,evidence_tuned_frozen
9,local_defect,0.008,0.4,0.2,0.4,0.0074662452882218785,0.0055224629622410235,0.968,0.3333333333333333,14,7,13,591,0.0336,0.6666666666666666,0.5185185185185185,0.02152317880794702,0.8225717439293598,evidence_tuned_frozen
9,mixed,0.003,0.4,0.2,0.4,0.0052600655167261805,0.0032817685663385546,0.984,0.7777777777777778,2,7,3,613,0.0144,0.2222222222222222,0.4,0.00487012987012987,0.6086760461760461,evidence_tuned_frozen
9,mixed,0.008,0.4,0.2,0.4,0.006918385833357461,0.005323398188725011,0.9872,0.8888888888888888,1,8,0,616,0.0144,0.1111111111111111,1.0,0.0,0.5555555555555556,evidence_tuned_frozen
10,smooth,0.003,0.4,0.2,0.4,0.00325012992051108,0.0025437799358752405,0.992,0.07142857142857142,26,2,3,594,0.0448,0.9285714285714286,0.896551724137931,0.005025125628140704,0.9617731514716439,evidence_tuned_frozen
10,smooth,0.008,0.4,0.2,0.4,0.006180308697354479,0.004894463519420211,0.984,0.03571428571428571,27,1,9,588,0.0448,0.9642857142857143,0.75,0.01507537688442211,0.9746051687006461,evidence_tuned_frozen
10,waviness,0.003,0.4,0.2,0.4,0.012811530131336003,0.008701458703641408,0.96,0.3387096774193548,41,21,4,559,0.0992,0.6612903225806451,0.9111111111111111,0.007104795737122558,0.8270927634217613,evidence_tuned_frozen
10,waviness,0.008,0.4,0.2,0.4,0.01181999893961054,0.00900241848167985,0.9344,0.6129032258064516,24,38,3,560,0.0992,0.3870967741935484,0.8888888888888888,0.0053285968028419185,0.6908840886953532,evidence_tuned_frozen
