method,n,rmse,agreement,missed,recall,precision,fpr,balanced_accuracy,prevalence
evidence_gated,120,0.006864859461433969,0.9759466666666667,0.26286313045280596,0.737136869547194,0.7691389065268104,0.009251276924641028,0.8639427963112765,0.050026666666666664
evidence_no_geometry,120,0.007224930982673195,0.9753866666666667,0.29184430917004783,0.7081556908299522,0.7539272356882367,0.009256369892794655,0.8494496604685788,0.050026666666666664
geometry_only,120,0.0069946750012210256,0.9668266666666666,0.41824396519570345,0.5817560348042965,0.7128772902429595,0.010943114032577314,0.7854064603858596,0.050026666666666664
posterior_risk,120,0.008413988544935101,0.9754666666666666,0.2834718641654051,0.716528135834595,0.7731026070106828,0.008555118771965416,0.8539865085313146,0.050026666666666664
randomized_straddle,120,0.007897980337751843,0.975,0.28849019299742606,0.7115098070025739,0.7637477532209886,0.008870385340392533,0.8513197108310907,0.050026666666666664
risk_geometry,120,0.008256582788905044,0.9750266666666666,0.26518692998189053,0.7348130700181095,0.7802279712014113,0.009015775170715803,0.8628986474236968,0.050026666666666664
space_filling,120,0.006036085491617599,0.9700399999999999,0.40311102462033427,0.5968889753796657,0.7167072129319311,0.010289197345888965,0.7932998890168883,0.050026666666666664
two_sided_straddle,120,0.006978907070016654,0.9753733333333333,0.2698838373247819,0.7301161626752181,0.7594431158622441,0.009848208318734644,0.8601339771782417,0.050026666666666664
uncertainty_only,120,0.006036902950579523,0.9697333333333333,0.373478339211506,0.626521660788494,0.7166653390958561,0.010531222964283745,0.807995218912105,0.050026666666666664
