length_scale,method,n,rmse,agreement,missed,balanced_accuracy
0.1,evidence_gated,120,0.0076855219032356285,0.9746400000000001,0.3032225133045562,0.8439385694586418
0.1,two_sided_straddle,120,0.006997093406628682,0.9726266666666666,0.31043952101212835,0.8394557396756096
0.1,uncertainty_only,120,0.006336954681910525,0.9681733333333333,0.43556214175753893,0.7773818606748388
0.16,evidence_gated,120,0.0068648594614340195,0.9759466666666667,0.26286313045280596,0.8639427963112765
0.16,two_sided_straddle,120,0.006978907070016704,0.9753733333333333,0.2698838373247819,0.8601339771782417
0.16,uncertainty_only,120,0.006036902950579572,0.9697333333333333,0.373478339211506,0.807995218912105
0.24,evidence_gated,120,0.006585267784353204,0.9762000000000001,0.2950086188239956,0.8487228268783222
0.24,two_sided_straddle,120,0.007615240893711072,0.9761466666666667,0.2708425318689172,0.8603472578444797
0.24,uncertainty_only,120,0.005870212655190581,0.97068,0.39048816670718256,0.800464145446082
