family,method,n,rmse,agreement,missed,recall,precision,fpr,balanced_accuracy
local_defect,evidence_gated,30,0.005180999123713826,0.9893866666666666,0.1400747290149464,0.8599252709850536,0.7507888892062042,0.00686157927851004,0.9265318458532719
local_defect,evidence_no_geometry,30,0.005453593216146333,0.9882666666666666,0.25673371616306395,0.743266283836936,0.6894740284625402,0.006995748556954614,0.8681352676399907
local_defect,geometry_only,30,0.005577722648492167,0.9832,0.34559806437523827,0.6544019356247617,0.6682437847790139,0.009425797861467666,0.822488068881647
local_defect,posterior_risk,30,0.0056251900565106,0.9898133333333333,0.17728366138692223,0.8227163386130777,0.7568110691302036,0.0067147234527429565,0.9080008075801674
local_defect,randomized_straddle,30,0.00563621245728682,0.9883733333333333,0.21026325124151207,0.7897367487584879,0.702546468458831,0.007137570357181013,0.8912995892006533
local_defect,risk_geometry,30,0.0054629298708367465,0.9893866666666666,0.13245807031133117,0.8675419296886688,0.7926963826309668,0.006823651078157553,0.9303591393052557
local_defect,space_filling,30,0.005797010727517443,0.98288,0.3810408944919814,0.6189591055080186,0.6148388106760972,0.009876528129021138,0.8045412886894987
local_defect,two_sided_straddle,30,0.005227995741415846,0.9880533333333333,0.16335557558383643,0.8366444244161636,0.7192515768705721,0.008128962442522864,0.9142577309868204
local_defect,uncertainty_only,30,0.00565788461568096,0.9823466666666667,0.28485316615751394,0.715146833842486,0.5925370104402468,0.01129321561370236,0.8519268091143919
mixed,evidence_gated,30,0.00647106598397215,0.9824533333333334,0.23579706781417056,0.7642029321858295,0.763108442151084,0.009257430467926977,0.8774727508589512
mixed,evidence_no_geometry,30,0.00670212607484058,0.9824,0.23648516800540786,0.763514831994592,0.7530539290189446,0.009581289866100264,0.8769667710642459
mixed,geometry_only,30,0.007138515098164624,0.97136,0.4571798053985448,0.5428201946014553,0.704622426993718,0.01060309403389761,0.7661085502837788
mixed,posterior_risk,30,0.008310949315243643,0.98304,0.23698551822220448,0.7630144817777954,0.7830643787483527,0.008134537215616062,0.8774399722810897
mixed,randomized_straddle,30,0.008086745024992513,0.9821333333333333,0.23337114333891576,0.7666288566610843,0.7669938165767881,0.009204136178321014,0.8787123602413817
mixed,risk_geometry,30,0.00823582600801212,0.98192,0.22586478992939626,0.7741352100706037,0.7727830784826342,0.008910397259838942,0.8826124064053823
mixed,space_filling,30,0.005869371890410213,0.9749866666666667,0.39972627776036995,0.60027372223963,0.7197028526306684,0.010655535533566287,0.794809093353032
mixed,two_sided_straddle,30,0.006986625567904187,0.9811733333333332,0.2386875715050724,0.7613124284949275,0.7435403422798765,0.01048628432751168,0.8754130720837079
mixed,uncertainty_only,30,0.005902835829814107,0.9765333333333334,0.3856912521116406,0.6143087478883593,0.7321755611704428,0.00932422183773662,0.8024922630253113
smooth,evidence_gated,30,0.004763500320933154,0.9819733333333333,0.21877757470094675,0.7812224252990532,0.7249560841562064,0.010866399024862947,0.8851780131370951
smooth,evidence_no_geometry,30,0.00494682866145075,0.9836266666666666,0.1823372062332216,0.8176627937667784,0.7419749152741036,0.010717853087217778,0.9034724703397803
smooth,geometry_only,30,0.00467260042558017,0.97696,0.24313027255090394,0.7568697274490961,0.6770866385954324,0.01540636799114104,0.8707316797289775
smooth,posterior_risk,30,0.00555101487450438,0.9830933333333333,0.2095036527614553,0.7904963472385447,0.7171056484614117,0.010335014034376614,0.8900806666020841
smooth,randomized_straddle,30,0.00507732436618075,0.9826666666666667,0.21727443305419875,0.7827255669458013,0.7481443488754843,0.00960425763741354,0.8865606546541938
smooth,risk_geometry,30,0.005443021355123803,0.98304,0.19674049619835102,0.8032595038016489,0.7266051262475134,0.010587184837125986,0.8963361594822615
smooth,space_filling,30,0.00455230004804656,0.9780266666666667,0.29167376886169294,0.708326231138307,0.6813418500762486,0.012512325318301994,0.8479069529100024
smooth,two_sided_straddle,30,0.004758630506498,0.9810666666666666,0.22439703393000887,0.7756029660699911,0.7274180264264563,0.0115116675927702,0.8820456492386105
smooth,uncertainty_only,30,0.004540981278367244,0.9776533333333333,0.26616729804664807,0.7338327019533519,0.6997179182170208,0.013289327528008677,0.8602716872126717
waviness,evidence_gated,30,0.011043872417116747,0.9499733333333332,0.45680315028116,0.54319684971884,0.8377022105937466,0.010019698927264146,0.766588575395788
waviness,evidence_no_geometry,30,0.011797175978255112,0.9472533333333334,0.49182114627849777,0.5081788537215022,0.8312060699973585,0.009730588060905966,0.7492241328302981
waviness,geometry_only,30,0.010589861832647141,0.9357866666666667,0.6270677184581268,0.37293228154187313,0.8015563106036739,0.008337196243802943,0.6822975426490351
waviness,posterior_risk,30,0.014168799933481779,0.94592,0.5101146242910383,0.4898853757089617,0.8354293317027628,0.009036200385126031,0.7404245876619179
waviness,randomized_straddle,30,0.012791639502547284,0.9468266666666667,0.4930519443550775,0.5069480556449224,0.8373063789728513,0.009535577188654566,0.748706239228134
waviness,risk_geometry,30,0.013884553921647506,0.9457599999999999,0.5056843634884837,0.49431563651151633,0.8288272974445309,0.009741867507740726,0.7422868845018878
waviness,space_filling,30,0.007925659300496176,0.9442666666666667,0.5400031573672928,0.4599968426327072,0.8509453383447101,0.008112400402666446,0.7259422211150203
waviness,two_sided_straddle,30,0.010942376464248584,0.9512,0.45309516828020974,0.5469048317197902,0.8475625178720718,0.009265918912133827,0.7688194564038281
waviness,uncertainty_only,30,0.008045910078455783,0.9423999999999999,0.5572016405302214,0.4427983594697787,0.8422308665557138,0.008218126877687327,0.7172901162960456
