placement,family,noise,seed,method,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
geometry_independent,local_defect,0.003,5,evidence_no_geometry,0.00382012344637191,0.002716307452716657,0.9792,0.2,32,8,5,580,0.064,0.8,0.8648648648648649,0.008547008547008548,0.8957264957264958
geometry_independent,local_defect,0.003,5,evidence_gated,0.003461194507385286,0.002557494466701951,0.9808,0.175,33,7,5,580,0.064,0.825,0.868421052631579,0.008547008547008548,0.9082264957264957
geometry_independent,local_defect,0.003,6,uncertainty_only,0.0031008259303048546,0.002230814522284078,0.9824,0.8888888888888888,1,8,3,613,0.0144,0.1111111111111111,0.25,0.00487012987012987,0.5531204906204906
geometry_independent,local_defect,0.003,6,two_sided_straddle,0.0028947359965719637,0.0022884173595871995,0.992,0.4444444444444444,5,4,1,615,0.0144,0.5555555555555556,0.8333333333333334,0.0016233766233766235,0.7769660894660895
geometry_independent,local_defect,0.003,6,posterior_risk,0.003505501230359597,0.0026925596123415657,0.9936,0.2222222222222222,7,2,2,614,0.0144,0.7777777777777778,0.7777777777777778,0.003246753246753247,0.8872655122655122
geometry_independent,local_defect,0.003,6,evidence_no_geometry,0.00341348894901235,0.0026047620522387173,0.9936,0.3333333333333333,6,3,1,615,0.0144,0.6666666666666666,0.8571428571428571,0.0016233766233766235,0.832521645021645
geometry_independent,local_defect,0.003,6,evidence_gated,0.0033817594271626362,0.00240819106748321,0.992,0.3333333333333333,6,3,2,614,0.0144,0.6666666666666666,0.75,0.003246753246753247,0.8317099567099566
geometry_independent,local_defect,0.003,7,uncertainty_only,0.0035395512764244312,0.0024530076285806655,0.992,0.1111111111111111,16,2,3,604,0.0288,0.8888888888888888,0.8421052631578947,0.004942339373970346,0.9419732747574592
geometry_independent,local_defect,0.003,7,two_sided_straddle,0.0030816841280446503,0.0023294077517424044,0.9904,0.0,18,0,6,601,0.0288,1.0,0.75,0.009884678747940691,0.9950576606260296
geometry_independent,local_defect,0.003,7,posterior_risk,0.0033236850880267,0.002616063380368279,0.9936,0.0,18,0,4,603,0.0288,1.0,0.8181818181818182,0.006589785831960461,0.9967051070840198
geometry_independent,local_defect,0.003,7,evidence_no_geometry,0.0030479533560134188,0.002288297469203745,0.9936,0.0,18,0,4,603,0.0288,1.0,0.8181818181818182,0.006589785831960461,0.9967051070840198
geometry_independent,local_defect,0.003,7,evidence_gated,0.0029024853706931778,0.0022977489473452422,0.9936,0.0,18,0,4,603,0.0288,1.0,0.8181818181818182,0.006589785831960461,0.9967051070840198
geometry_independent,local_defect,0.008,0,uncertainty_only,0.005853582483978956,0.004606475663937807,0.9936,1.0,0,3,1,621,0.0048,0.0,0.0,0.001607717041800643,0.4991961414790997
geometry_independent,local_defect,0.008,0,two_sided_straddle,0.007500191069819527,0.005605367233221445,0.9952,1.0,0,3,0,622,0.0048,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,0,posterior_risk,0.007757687477646806,0.005295043222213069,0.9952,1.0,0,3,0,622,0.0048,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,0,evidence_no_geometry,0.007129625536658604,0.0056074232839972695,0.9952,1.0,0,3,0,622,0.0048,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,0,evidence_gated,0.005918172135614598,0.004846983297356543,0.9984,0.3333333333333333,2,1,0,622,0.0048,0.6666666666666666,1.0,0.0,0.8333333333333333
geometry_independent,local_defect,0.008,1,uncertainty_only,0.006704756159195664,0.005443386302679267,0.9776,0.043478260869565216,22,1,13,589,0.0368,0.9565217391304348,0.6285714285714286,0.02159468438538206,0.9674635273725264
geometry_independent,local_defect,0.008,1,two_sided_straddle,0.006070416538914145,0.0049146248771633465,0.9824,0.0,23,0,11,591,0.0368,1.0,0.6764705882352942,0.018272425249169437,0.9908637873754154
geometry_independent,local_defect,0.008,1,posterior_risk,0.006704651192538056,0.005367512018112032,0.9872,0.043478260869565216,22,1,7,595,0.0368,0.9565217391304348,0.7586206896551724,0.011627906976744186,0.9724469160768453
geometry_independent,local_defect,0.008,1,evidence_no_geometry,0.006024509307392476,0.004777971193195597,0.9856,0.043478260869565216,22,1,8,594,0.0368,0.9565217391304348,0.7333333333333333,0.013289036544850499,0.9716163512927922
geometry_independent,local_defect,0.008,1,evidence_gated,0.006874960070219283,0.005517041240974516,0.9888,0.0,23,0,7,595,0.0368,1.0,0.7666666666666667,0.011627906976744186,0.9941860465116279
geometry_independent,local_defect,0.008,2,uncertainty_only,0.007042003493577441,0.005357893798612363,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,2,two_sided_straddle,0.006361319954154594,0.004970757905155435,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,2,posterior_risk,0.007628152399991419,0.005311793415545462,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,2,evidence_no_geometry,0.0075405562280526734,0.005502644691406469,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,2,evidence_gated,0.007010416666248139,0.0054200025192194575,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.008,3,uncertainty_only,0.006147758724602579,0.00477367973498887,0.992,0.11764705882352941,15,2,3,605,0.0272,0.8823529411764706,0.8333333333333334,0.004934210526315789,0.9387093653250773
geometry_independent,local_defect,0.008,3,two_sided_straddle,0.00660485848711556,0.0050721279070561525,0.992,0.17647058823529413,14,3,2,606,0.0272,0.8235294117647058,0.875,0.003289473684210526,0.9101199690402477
geometry_independent,local_defect,0.008,3,posterior_risk,0.006647407154532616,0.005372666680419988,0.9936,0.17647058823529413,14,3,1,607,0.0272,0.8235294117647058,0.9333333333333333,0.001644736842105263,0.9109423374613003
geometry_independent,local_defect,0.008,3,evidence_no_geometry,0.006777397372082326,0.005159276531242364,0.992,0.11764705882352941,15,2,3,605,0.0272,0.8823529411764706,0.8333333333333334,0.004934210526315789,0.9387093653250773
geometry_independent,local_defect,0.008,3,evidence_gated,0.006386432055031164,0.0050161053716476145,0.992,0.11764705882352941,15,2,3,605,0.0272,0.8823529411764706,0.8333333333333334,0.004934210526315789,0.9387093653250773
geometry_independent,local_defect,0.008,4,uncertainty_only,0.006990740808137304,0.005487214902286673,0.992,0.05263157894736842,18,1,4,602,0.0304,0.9473684210526315,0.8181818181818182,0.006600660066006601,0.9703838804933125
geometry_independent,local_defect,0.008,4,two_sided_straddle,0.0068459296874486385,0.0052819734203414445,0.9904,0.10526315789473684,17,2,4,602,0.0304,0.8947368421052632,0.8095238095238095,0.006600660066006601,0.9440680910196283
geometry_independent,local_defect,0.008,4,posterior_risk,0.0069153156894818935,0.0053471731602497095,0.9904,0.10526315789473684,17,2,4,602,0.0304,0.8947368421052632,0.8095238095238095,0.006600660066006601,0.9440680910196283
geometry_independent,local_defect,0.008,4,evidence_no_geometry,0.006523327621752627,0.005019658817243926,0.9904,0.10526315789473684,17,2,4,602,0.0304,0.8947368421052632,0.8095238095238095,0.006600660066006601,0.9440680910196283
geometry_independent,local_defect,0.008,4,evidence_gated,0.006369193978846601,0.004893926393284758,0.9936,0.05263157894736842,18,1,3,603,0.0304,0.9473684210526315,0.8571428571428571,0.0049504950495049506,0.9712089630015632
geometry_independent,local_defect,0.008,5,uncertainty_only,0.006541744327862858,0.005240426095382151,0.9536,0.2,32,8,21,564,0.064,0.8,0.6037735849056604,0.035897435897435895,0.882051282051282
geometry_independent,local_defect,0.008,5,two_sided_straddle,0.007405180631621429,0.0060046371416210805,0.944,0.2,32,8,27,558,0.064,0.8,0.5423728813559322,0.046153846153846156,0.8769230769230769
geometry_independent,local_defect,0.008,5,posterior_risk,0.006806678199809009,0.005549784032273765,0.9664,0.25,30,10,11,574,0.064,0.75,0.7317073170731707,0.018803418803418803,0.8655982905982906
geometry_independent,local_defect,0.008,5,evidence_no_geometry,0.006315620397862772,0.005045173851815024,0.9696,0.225,31,9,10,575,0.064,0.775,0.7560975609756098,0.017094017094017096,0.8789529914529914
geometry_independent,local_defect,0.008,5,evidence_gated,0.0056846853681880635,0.004558590648272439,0.9744,0.225,31,9,7,578,0.064,0.775,0.8157894736842105,0.011965811965811967,0.881517094017094
geometry_independent,local_defect,0.008,6,uncertainty_only,0.007265871274633798,0.005722180489779982,0.9728,0.2222222222222222,7,2,15,601,0.0144,0.7777777777777778,0.3181818181818182,0.024350649350649352,0.8767135642135642
geometry_independent,local_defect,0.008,6,two_sided_straddle,0.006937484951170515,0.005436125383170816,0.9904,0.2222222222222222,7,2,4,612,0.0144,0.7777777777777778,0.6363636363636364,0.006493506493506494,0.8856421356421357
geometry_independent,local_defect,0.008,6,posterior_risk,0.006294778654602416,0.0049278123239475235,0.9872,0.2222222222222222,7,2,6,610,0.0144,0.7777777777777778,0.5384615384615384,0.00974025974025974,0.884018759018759
geometry_independent,local_defect,0.008,6,evidence_no_geometry,0.006197489412372515,0.004978714015039213,0.9856,0.2222222222222222,7,2,7,609,0.0144,0.7777777777777778,0.5,0.011363636363636364,0.8832070707070707
geometry_independent,local_defect,0.008,6,evidence_gated,0.0071224291724398215,0.005627399670930746,0.984,0.4444444444444444,5,4,6,610,0.0144,0.5555555555555556,0.45454545454545453,0.00974025974025974,0.772907647907648
geometry_independent,local_defect,0.008,7,uncertainty_only,0.005969306062727946,0.004543035010128807,0.9824,0.16666666666666666,15,3,8,599,0.0288,0.8333333333333334,0.6521739130434783,0.013179571663920923,0.9100768808347062
geometry_independent,local_defect,0.008,7,two_sided_straddle,0.006215738246883986,0.004638058291587005,0.9856,0.1111111111111111,16,2,7,600,0.0288,0.8888888888888888,0.6956521739130435,0.011532125205930808,0.938678381841479
geometry_independent,local_defect,0.008,7,posterior_risk,0.006620074538538676,0.005223698601304584,0.9888,0.16666666666666666,15,3,4,603,0.0288,0.8333333333333334,0.7894736842105263,0.006589785831960461,0.9133717737506865
geometry_independent,local_defect,0.008,7,evidence_no_geometry,0.0055484766394960135,0.004437479537977724,0.9872,0.1111111111111111,16,2,6,601,0.0288,0.8888888888888888,0.7272727272727273,0.009884678747940691,0.939502105070474
geometry_independent,local_defect,0.008,7,evidence_gated,0.006058349849658511,0.0049716023124073815,0.9824,0.1111111111111111,16,2,9,598,0.0288,0.8888888888888888,0.64,0.014827018121911038,0.9370309353834889
geometry_independent,mixed,0.003,0,uncertainty_only,0.004092156863782527,0.0029120185996598627,0.9808,0.5,11,11,1,602,0.0352,0.5,0.9166666666666666,0.001658374792703151,0.7491708126036485
geometry_independent,mixed,0.003,0,two_sided_straddle,0.006083736118878426,0.004215007805658561,0.9792,0.45454545454545453,12,10,3,600,0.0352,0.5454545454545454,0.8,0.004975124378109453,0.7702397105382179
geometry_independent,mixed,0.003,0,posterior_risk,0.006359434631969272,0.0044325163686881434,0.9808,0.36363636363636365,14,8,4,599,0.0352,0.6363636363636364,0.7777777777777778,0.006633499170812604,0.8148650685964118
geometry_independent,mixed,0.003,0,evidence_no_geometry,0.004638873689710412,0.003291765164491624,0.9808,0.4090909090909091,13,9,3,600,0.0352,0.5909090909090909,0.8125,0.004975124378109453,0.7929669832654908
geometry_independent,mixed,0.003,0,evidence_gated,0.004449985482613057,0.003364718906543165,0.9888,0.18181818181818182,18,4,3,600,0.0352,0.8181818181818182,0.8571428571428571,0.004975124378109453,0.9066033469018544
geometry_independent,mixed,0.003,1,uncertainty_only,0.003838004894077724,0.002900016215612352,0.984,0.34615384615384615,17,9,1,598,0.0416,0.6538461538461539,0.9444444444444444,0.001669449081803005,0.8260883523821754
geometry_independent,mixed,0.003,1,two_sided_straddle,0.004674153631930987,0.003733912297015685,0.992,0.15384615384615385,22,4,1,598,0.0416,0.8461538461538461,0.9565217391304348,0.001669449081803005,0.9222421985360216
geometry_independent,mixed,0.003,1,posterior_risk,0.005963299562677714,0.004571560165951984,0.9968,0.038461538461538464,25,1,1,598,0.0416,0.9615384615384616,0.9615384615384616,0.001669449081803005,0.9799345062283293
geometry_independent,mixed,0.003,1,evidence_no_geometry,0.005136618991227053,0.003930625889502377,0.9984,0.038461538461538464,25,1,0,599,0.0416,0.9615384615384616,1.0,0.0,0.9807692307692308
geometry_independent,mixed,0.003,1,evidence_gated,0.004301883364817768,0.0034583267449403913,0.992,0.19230769230769232,21,5,0,599,0.0416,0.8076923076923077,1.0,0.0,0.9038461538461539
geometry_independent,mixed,0.003,2,uncertainty_only,0.003260769194798313,0.0026228551016404477,0.9888,0.3684210526315789,12,7,0,606,0.0304,0.631578947368421,1.0,0.0,0.8157894736842105
geometry_independent,mixed,0.003,2,two_sided_straddle,0.0036763691203478906,0.00289706306556012,0.9936,0.21052631578947367,15,4,0,606,0.0304,0.7894736842105263,1.0,0.0,0.8947368421052632
geometry_independent,mixed,0.003,2,posterior_risk,0.00545336139614417,0.004030995113053673,0.9952,0.10526315789473684,17,2,1,605,0.0304,0.8947368421052632,0.9444444444444444,0.0016501650165016502,0.9465433385443808
geometry_independent,mixed,0.003,2,evidence_no_geometry,0.003994226463512956,0.002962528457674384,0.9936,0.21052631578947367,15,4,0,606,0.0304,0.7894736842105263,1.0,0.0,0.8947368421052632
geometry_independent,mixed,0.003,2,evidence_gated,0.004127646049987932,0.00320662433705317,0.9968,0.10526315789473684,17,2,0,606,0.0304,0.8947368421052632,1.0,0.0,0.9473684210526316
