seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
0,mixed,0.008,evidence_gated,0.1,0.0085926824901017,0.006929306218922699,0.9808,0.05,19,1,11,594,0.032,0.95,0.6333333333333333,0.01818181818181818,0.9659090909090908
1,smooth,0.003,uncertainty_only,0.1,0.002955750362659249,0.002305584687256394,0.992,0.03225806451612903,30,1,4,590,0.0496,0.967741935483871,0.8823529411764706,0.006734006734006734,0.9805039643749321
1,smooth,0.003,two_sided_straddle,0.1,0.0035576609928607223,0.0027283008252296194,0.992,0.0,31,0,5,589,0.0496,1.0,0.8611111111111112,0.008417508417508417,0.9957912457912458
1,smooth,0.003,evidence_gated,0.1,0.0036007518399536983,0.0028746484754275437,0.9888,0.03225806451612903,30,1,6,588,0.0496,0.967741935483871,0.8333333333333334,0.010101010101010102,0.9788204626914305
1,smooth,0.008,uncertainty_only,0.1,0.006830504511990718,0.005283734586113235,0.9696,0.3870967741935484,19,12,7,587,0.0496,0.6129032258064516,0.7307692307692307,0.011784511784511785,0.8005593570109699
1,smooth,0.008,two_sided_straddle,0.1,0.006502575645903025,0.00533441246828847,0.984,0.12903225806451613,27,4,6,588,0.0496,0.8709677419354839,0.8181818181818182,0.010101010101010102,0.9304333659172369
1,smooth,0.008,evidence_gated,0.1,0.006562754144990461,0.005298937100597086,0.9856,0.0967741935483871,28,3,6,588,0.0496,0.9032258064516129,0.8235294117647058,0.010101010101010102,0.9465623981753014
1,waviness,0.003,uncertainty_only,0.1,0.007502937785014917,0.005422786498254607,0.9664,0.46511627906976744,23,20,1,581,0.0688,0.5348837209302325,0.9583333333333334,0.001718213058419244,0.7665827539359067
1,waviness,0.003,two_sided_straddle,0.1,0.008691170295306971,0.005843905737570145,0.9712,0.37209302325581395,27,16,2,580,0.0688,0.627906976744186,0.9310344827586207,0.003436426116838488,0.8122352753136738
1,waviness,0.003,evidence_gated,0.1,0.010640879489762032,0.00787255531640935,0.9648,0.4418604651162791,24,19,3,579,0.0688,0.5581395348837209,0.8888888888888888,0.005154639175257732,0.7764924478542317
1,waviness,0.008,uncertainty_only,0.1,0.009593883274122443,0.007533539869931947,0.9424,0.6976744186046512,13,30,6,576,0.0688,0.3023255813953488,0.6842105263157895,0.010309278350515464,0.6460081515224168
1,waviness,0.008,two_sided_straddle,0.1,0.011636058618986395,0.009102671647442528,0.9344,0.6046511627906976,17,26,15,567,0.0688,0.3953488372093023,0.53125,0.02577319587628866,0.6847878206665068
1,waviness,0.008,evidence_gated,0.1,0.012763738828628284,0.009814590399895342,0.9552,0.5813953488372093,18,25,3,579,0.0688,0.4186046511627907,0.8571428571428571,0.005154639175257732,0.7067250059937665
1,local_defect,0.003,uncertainty_only,0.1,0.0028575982651390178,0.0021851396735930286,0.9984,0.0,7,0,1,617,0.0112,1.0,0.875,0.0016181229773462784,0.9991909385113269
