placement,method,n,rmse,agreement,missed,balanced_accuracy,recall,precision
geometry_independent,evidence_gated,32,0.00563410274025957,0.98665,0.24134234799064214,0.8757638907089785,0.7586576520093579,0.7431374686832246
geometry_independent,evidence_no_geometry,32,0.005780214849385818,0.9863,0.25402133854339826,0.8692164094351547,0.7459786614566017,0.7161676041342363
geometry_independent,posterior_risk,32,0.006830780929278439,0.986,0.299920427382608,0.8466052356695513,0.7000795726173921,0.6962501343371418
geometry_independent,two_sided_straddle,32,0.006086227342079669,0.9846,0.2792861276643835,0.8562107966455065,0.7207138723356165,0.7153673741398914
geometry_independent,uncertainty_only,32,0.005290397134326878,0.9817,0.35531787141771337,0.8178684898919611,0.6446821285822866,0.703587191715597
low_complexity,evidence_gated,32,0.005583015781817693,0.98755,0.15271824301429565,0.9199276112032109,0.8472817569857044,0.7962520435018698
low_complexity,evidence_no_geometry,32,0.005649314663621014,0.98875,0.14308598017479596,0.9251538174489538,0.856914019825204,0.8162070617942183
low_complexity,posterior_risk,32,0.006720675039524776,0.98855,0.17678333788531156,0.9085151566116986,0.8232166621146885,0.7840672729560078
low_complexity,two_sided_straddle,32,0.005743592727256742,0.98725,0.15200966796361534,0.9200256720293695,0.8479903320363846,0.7958558734294028
low_complexity,uncertainty_only,32,0.005167044953715446,0.98275,0.26255559742401846,0.8637574297681337,0.7374444025759815,0.7056221912824501
