seed,family,noise,method,budget,rmse,mae,decision_agreement,missed_exceedance,mean_std,q95_std,label_change,critical_q95_std,confidence_q05,ambiguous_90,gate_fired,gate_budget,gate_success,exceedance_fraction,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
0,smooth,0.003,space_filling,100,0.002549454769275749,0.00201581124441355,0.9968,0.05263157894736842,0.012153785171622375,0.01866275627093908,0.0016,0.019320923522256433,0.7077258881121853,0.2512,False,,,0.0304,18,1,1,605,0.0304,0.9473684210526315,0.9473684210526315,0.0016501650165016502,0.972859128018065
0,smooth,0.003,geometry_only,100,0.0028118952015082784,0.0022664976619455944,0.9968,0.05263157894736842,0.013991870454434473,0.02542136193589012,0.0032,0.026011636437756603,0.6946098817676069,0.3488,False,,,0.0304,18,1,1,605,0.0304,0.9473684210526315,0.9473684210526315,0.0016501650165016502,0.972859128018065
0,smooth,0.003,uncertainty_only,100,0.0025371370831840023,0.0020449698231800695,0.9936,0.10526315789473684,0.012200202295916208,0.018738674338793563,0.0,0.019284616928467176,0.7397624443083167,0.2608,False,,,0.0304,17,2,2,604,0.0304,0.8947368421052632,0.8947368421052632,0.0033003300330033004,0.9457182560361299
0,smooth,0.003,evidence_gated,100,0.002761692366304775,0.002226971484755286,0.9984,0.0,0.012997602700106563,0.02160478126697967,0.0,0.02200448560854798,0.7890351333946097,0.296,False,,,0.0304,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.003,two_sided_straddle,100,0.002957748114437066,0.00233327745433387,0.9984,0.0,0.013300854688537162,0.02223339509386448,0.0,0.02240669140759094,0.7607136832243528,0.3376,False,,,0.0304,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.003,randomized_straddle,100,0.0037450068388523677,0.0029699392904277092,0.9984,0.0,0.015151947329621288,0.02646223332736385,0.0,0.026818311200124772,0.7464691810417532,0.432,False,,,0.0304,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.003,posterior_risk,100,0.003579647271857488,0.0027689749872604266,0.9984,0.0,0.01458548950968239,0.02373984821719537,0.0,0.024020074105692873,0.800356160687103,0.4032,False,,,0.0304,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.003,evidence_no_geometry,100,0.002611587468033711,0.0020702034147305932,0.9984,0.0,0.012963196155017667,0.020696319151992288,0.0,0.021001692317130463,0.7884669170341385,0.3024,False,,,0.0304,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.003,risk_geometry,100,0.0031428609117975874,0.0024944564610929467,0.9984,0.0,0.014156704706852208,0.02280966441707571,0.0,0.022990019938926156,0.8058187977501808,0.3664,False,,,0.0304,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.008,space_filling,100,0.006345727826779344,0.005126322452039426,0.984,0.3157894736842105,0.013908628451164015,0.019487944199375516,0.0,0.0199423812064004,0.7125392192677165,0.3248,False,,,0.0304,13,6,4,602,0.0304,0.6842105263157895,0.7647058823529411,0.006600660066006601,0.8388049331248915
0,smooth,0.008,geometry_only,100,0.006569032573616556,0.005292268154707078,0.9808,0.3684210526315789,0.015639820499339485,0.026185248375986587,0.0032,0.02658271590144486,0.7079128346321806,0.4096,False,,,0.0304,12,7,5,601,0.0304,0.631578947368421,0.7058823529411765,0.00825082508250825,0.8116640611429564
0,smooth,0.008,uncertainty_only,100,0.005410721086167175,0.004413502260636645,0.9952,0.10526315789473684,0.013804423940147309,0.018613044555696425,0.0016,0.01924454517588509,0.6954454282774638,0.3152,False,,,0.0304,17,2,1,605,0.0304,0.8947368421052632,0.9444444444444444,0.0016501650165016502,0.9465433385443808
0,smooth,0.008,evidence_gated,100,0.006408877698894594,0.005144696591877316,0.976,0.15789473684210525,0.01508155135688367,0.022176604344306284,0.0,0.02236963587518262,0.7325549028593459,0.3664,False,,,0.0304,16,3,12,594,0.0304,0.8421052631578947,0.5714285714285714,0.019801980198019802,0.9111516414799374
