method,n,rmse_mean,rmse_sd,agreement_mean,agreement_sd,missed_mean,missed_sd,precision_mean,recall_mean,fpr_mean,balanced_accuracy_mean,prevalence_mean
evidence_gated,120,0.0068648594614340195,0.0030137890653023055,0.9759466666666667,0.01891091425265178,0.26286313045280596,0.21171638303609439,0.7691389065268104,0.737136869547194,0.009251276924641066,0.8639427963112765,0.050026666666666664
evidence_no_geometry,120,0.00722493098267324,0.0032379166111788996,0.9753866666666667,0.019748123762951826,0.29184430917004783,0.24365348707840856,0.7539272356882367,0.7081556908299522,0.009256369892794694,0.8494496604685787,0.050026666666666664
geometry_only,120,0.006994675001221076,0.002888208305979122,0.9668266666666666,0.024103069065481066,0.41824396519570345,0.26347212295299277,0.7128772902429595,0.5817560348042966,0.010943114032577356,0.7854064603858596,0.050026666666666664
posterior_risk,120,0.008413988544935153,0.003931499830181474,0.9754666666666666,0.020635766182489444,0.2834718641654051,0.23704064542634803,0.7731026070106828,0.716528135834595,0.008555118771965456,0.8539865085313146,0.050026666666666664
randomized_straddle,120,0.00789798033775189,0.0034613900649953346,0.975,0.020422758766392265,0.28849019299742606,0.23477178362047563,0.7637477532209886,0.7115098070025739,0.008870385340392575,0.8513197108310907,0.050026666666666664
risk_geometry,120,0.008256582788905094,0.003933363416814211,0.9750266666666666,0.020816330585567176,0.26518692998189053,0.21813733722069487,0.7802279712014113,0.7348130700181095,0.009015775170715844,0.8628986474236968,0.050026666666666664
space_filling,120,0.006036085491617648,0.0020758646563171653,0.9700399999999999,0.020205558765894516,0.40311102462033427,0.24648127716992968,0.7167072129319311,0.5968889753796657,0.010289197345889003,0.7932998890168883,0.050026666666666664
two_sided_straddle,120,0.006978907070016704,0.0029708724024613636,0.9753733333333333,0.01859702575539374,0.2698838373247819,0.2168082550530152,0.7594431158622441,0.7301161626752181,0.009848208318734682,0.8601339771782417,0.050026666666666664
uncertainty_only,120,0.006036902950579572,0.0021328021795000806,0.9697333333333333,0.021104005487562003,0.373478339211506,0.24049528609741588,0.7166653390958561,0.626521660788494,0.01053122296428379,0.807995218912105,0.050026666666666664
