seed,family,noise,method,budget,rmse,mae,decision_agreement,missed_exceedance,mean_std,q95_std,label_change,critical_q95_std,confidence_q05,ambiguous_90,gate_fired,gate_budget,gate_success,exceedance_fraction,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
0,smooth,0.003,space_filling,16,0.010798944341758356,0.007889571520744928,0.9696,1.0,0.03364403885840419,0.04872111548266483,1.0,0.04883161749856009,0.5274554610317314,0.9152,False,,,0.0304,0,19,0,606,0.0304,0.0,0.0,0.0,0.5
0,smooth,0.003,space_filling,20,0.009904017313778197,0.007292731045379189,0.9696,1.0,0.0321104069070293,0.04399519073383838,0.0,0.04405784686057385,0.5684989505324651,0.9056,False,,,0.0304,0,19,0,606,0.0304,0.0,0.0,0.0,0.5
0,smooth,0.003,space_filling,24,0.008900560558487277,0.006344258503010337,0.9696,1.0,0.0297764478962236,0.0425080648707939,0.0,0.042533842586501336,0.5825918211135563,0.8848,False,,,0.0304,0,19,0,606,0.0304,0.0,0.0,0.0,0.5
0,smooth,0.003,space_filling,28,0.008499290170036195,0.005848273551564251,0.9696,1.0,0.027374066600824743,0.0385558419759783,0.0,0.03860172267792765,0.6132757996264697,0.8656,False,,,0.0304,0,19,0,606,0.0304,0.0,0.0,0.0,0.5
0,smooth,0.003,space_filling,32,0.006211344689711243,0.0046221557211652805,0.984,0.47368421052631576,0.025500958605281385,0.03606221885422438,0.0176,0.036119859889713335,0.6186034289533313,0.8416,False,,,0.0304,10,9,1,605,0.0304,0.5263157894736842,0.9090909090909091,0.0016501650165016502,0.7623328122285913
0,smooth,0.003,space_filling,36,0.0057653720452649,0.004114399947629624,0.9856,0.47368421052631576,0.02394307485614825,0.03447676231088168,0.0016,0.03451225154121419,0.627833834908085,0.808,False,,,0.0304,10,9,0,606,0.0304,0.5263157894736842,1.0,0.0,0.763157894736842
0,smooth,0.003,space_filling,40,0.005673161287355306,0.003979843818415314,0.9856,0.47368421052631576,0.02291105303365691,0.03399908732875145,0.0,0.034057656453282625,0.6570666173788828,0.7808,False,,,0.0304,10,9,0,606,0.0304,0.5263157894736842,1.0,0.0,0.763157894736842
0,smooth,0.003,space_filling,44,0.0046936618126366125,0.0035802145316059524,0.9856,0.47368421052631576,0.021347133075079548,0.03161594523063031,0.0,0.03181680951972663,0.6698610465250763,0.7216,False,,,0.0304,10,9,0,606,0.0304,0.5263157894736842,1.0,0.0,0.763157894736842
0,smooth,0.003,space_filling,48,0.004371573275187563,0.003273767470183907,0.9904,0.3157894736842105,0.020032839938590608,0.029152616199049238,0.0048,0.029295239488322397,0.6797889144517484,0.688,False,,,0.0304,13,6,0,606,0.0304,0.6842105263157895,1.0,0.0,0.8421052631578947
0,smooth,0.003,space_filling,52,0.003872634883544937,0.003029795571782907,0.9952,0.15789473684210525,0.01894620272438853,0.02750426714506998,0.0048,0.027582957338762613,0.661665250367162,0.624,False,,,0.0304,16,3,0,606,0.0304,0.8421052631578947,1.0,0.0,0.9210526315789473
